p,mode,n_eff,median_diff,r_rb,p_fdr,reject,pass_effect,unit_id,image
1.6766620125958893e-52,exact,971,4.0,0.5428581115730675,6.4107665187489884e-52,True,True,1049375427,im012_r
2.283365578258946e-09,exact,678,4.0,0.25806213371216563,3.805609297098244e-09,True,True,1049375426,im012_r
4.814878214932963e-33,exact,993,4.0,0.4272685458166927,1.2905859132810004e-32,True,True,1049375422,im012_r
3.3183539398977645e-06,exact,351,4.0,0.27543058793058794,5.105159907535022e-06,True,True,1049375421,im012_r
0.05566100374926464,exact,38,4.0,0.29959514170040485,0.07822627553950705,False,True,1049375416,im012_r
0.9949031484706817,exact,813,-4.0,-0.10394057257525892,1.0,False,False,1049375062,im012_r
1.4944944858150878e-100,exact,986,8.0,0.7250997244092061,1.3877448796854385e-99,True,True,1049375061,im012_r
5.778580164184626e-09,exact,155,4.0,0.5130686517783292,9.509055966379764e-09,True,True,1049375451,im012_r
1.0,exact,1030,-8.0,-0.8534611509233189,1.0,False,True,1049375060,im012_r
3.0163633140927265e-60,exact,1108,8.0,0.5455967421132643,1.400454395828766e-59,True,True,1049375057,im012_r
3.589984789503573e-21,exact,915,4.0,0.35260457680101176,7.843664245974193e-21,True,True,1049375412,im012_r
0.9999841083910173,exact,788,-4.0,-0.17060727130017436,1.0,False,False,1049375056,im012_r
1.7144555582643912e-06,exact,339,4.0,0.28861703973624847,2.669212246399651e-06,True,True,1049375413,im012_r
1.2475237713117218e-26,exact,231,8.0,0.7449246156142708,2.922127752622051e-26,True,True,1049375054,im012_r
1.8988515775350768e-14,exact,367,4.0,0.44556332188129366,3.6301574276405875e-14,True,True,1049375410,im012_r
1.1137840759321372e-75,exact,1110,8.0,0.6068033830410068,6.161358717922461e-75,True,True,1049375425,im012_r
1.0660349087466892e-18,exact,779,4.0,0.356709785721339,2.199754573604279e-18,True,True,1049375409,im012_r
1.4719295440944395e-09,exact,979,4.0,0.21787746763669716,2.4690431062229308e-09,True,False,1049375047,im012_r
2.6685018159845334e-13,exact,922,4.0,0.27215084264975803,4.851821483608242e-13,True,True,1049375407,im012_r
2.1434686595783223e-34,exact,670,4.0,0.5247903552283293,6.057628820547432e-34,True,True,1049375048,im012_r
3.89316323104841e-16,exact,882,4.0,0.30987177808080574,7.668351818731717e-16,True,True,1049375044,im012_r
4.3069790409085333e-57,exact,994,8.0,0.5589941660010314,1.8979907637902012e-56,True,True,1049375408,im012_r
2.5069228317755827e-11,exact,450,4.0,0.3526287262872629,4.31655586928246e-11,True,True,1049375391,im012_r
9.683944733513068e-34,exact,767,4.0,0.48799774554541503,2.6503427691719977e-33,True,True,1049375404,im012_r
2.446216549011466e-58,exact,909,4.0,0.5882034357281882,1.0965798323154847e-57,True,True,1049375396,im012_r
0.09097439113286826,exact,630,4.0,0.06140920182124619,0.12648845825960292,False,False,1049375406,im012_r
0.0631284076457696,exact,116,4.0,0.16401414677276746,0.08824401068763493,False,False,1049375042,im012_r
4.1714853308820906e-140,exact,964,4.0,0.8361361339840475,6.778663662683397e-139,True,True,1049375405,im012_r
0.9545374421427089,exact,607,-4.0,-0.07919123385068932,1.0,False,False,1049375040,im012_r
8.243666262526345e-147,exact,1103,8.0,0.8091781964865256,1.648733252505269e-145,True,True,1049375034,im012_r
0.9999999982779167,exact,458,-4.0,-0.31527623179305686,1.0,False,True,1049375022,im012_r
3.387918025400291e-84,exact,1041,8.0,0.6554121701228518,2.318049175273883e-83,True,True,1049375019,im012_r
0.9999999999999999,exact,983,-4.0,-0.3590034654161394,1.0,False,True,1049375036,im012_r
1.0,exact,960,-8.0,-0.7356594693028096,1.0,False,True,1049375023,im012_r
5.994428516930723e-27,exact,398,4.0,0.5913149708441959,1.4168649221836256e-26,True,True,1049375031,im012_r
1.5975991417509806e-16,exact,519,4.0,0.40597302504816957,3.1708074569103434e-16,True,True,1049375401,im012_r
4.1909940904860735e-28,exact,672,4.0,0.4737449586075143,9.996866637856689e-28,True,True,1049375400,im012_r
0.0037107785803444007,exact,271,4.0,0.18724224006945953,0.005360013504941912,True,False,1049375399,im012_r
4.332449953431685e-36,exact,1084,4.0,0.42846599894570375,1.2947551584968254e-35,True,True,1049375021,im012_r
3.0563869967394426e-164,exact,816,4.0,0.9320055439556484,7.224187446838682e-163,True,True,1049375020,im012_r
1.0933097727770722e-30,exact,581,4.0,0.5299667003803136,2.786868048255282e-30,True,True,1049375393,im012_r
0.9999976118891312,exact,610,-4.0,-0.2128249845724558,1.0,False,False,1049375385,im012_r
5.694463978844877e-103,exact,925,4.0,0.7519631078162395,5.922242537998672e-102,True,True,1049375384,im012_r
5.780363669356405e-76,exact,781,4.0,0.7087149729345615,3.267162073984055e-75,True,True,1049375394,im012_r
0.9999999999999991,exact,468,-4.0,-0.4161882893226177,1.0,False,True,1049375018,im012_r
7.709257935333399e-70,exact,749,4.0,0.6953769470404985,4.008814126373367e-69,True,True,1049375388,im012_r
3.6788713532708387e-121,exact,966,4.0,0.7897683600214961,4.347757053865536e-120,True,True,1049375383,im012_r
9.489794920863712e-85,exact,926,4.0,0.6914848753847265,6.668504538985312e-84,True,True,1049375386,im012_r
1.1199018667904808e-19,exact,810,4.0,0.35974486611560186,2.4064007055002065e-19,True,True,1049375382,im012_r
2.6286163619189735e-68,exact,638,4.0,0.7367605143224376,1.3143081809594868e-67,True,True,1049375380,im012_r
1.1828319566371685e-50,exact,658,4.0,0.6365221321796404,4.3314973059952655e-50,True,True,1049375379,im012_r
5.863674380876632e-33,exact,564,4.0,0.5564614322475365,1.5556687132938002e-32,True,True,1049375378,im012_r
1.5451534455944547e-38,exact,869,4.0,0.4916392206658466,4.78261780779236e-38,True,True,1049375381,im012_r
1.6988056990840057e-10,exact,779,4.0,0.25787827918765016,2.905851853696325e-10,True,True,1049375014,im012_r
9.689642191263785e-14,exact,461,4.0,0.3885868289339005,1.825584760672887e-13,True,True,1049375013,im012_r
3.193960851081202e-122,exact,840,4.0,0.8357680765528566,3.95442772038625e-121,True,True,1049375389,im012_r
2.83025839784479e-247,exact,1150,12.0,0.9499429607524648,2.4528906114654842e-245,True,True,1049375376,im012_r
8.247795392776949e-24,exact,558,4.0,0.47526625246055104,1.8647189583669625e-23,True,True,1049375355,im012_r
5.513591525058427e-09,exact,870,4.0,0.22248703432439923,9.130788512835613e-09,True,False,1049375369,im012_r
0.6312461788700073,exact,98,-4.0,-0.03896103896103896,0.8373673801336832,False,False,1049375371,im012_r
5.021871658961753e-131,exact,735,8.0,0.8972530316474416,7.253814618500308e-130,True,True,1049375375,im012_r
0.9997751499622808,exact,513,-4.0,-0.17831327128890104,1.0,False,False,1049375012,im012_r
1.2517257274200301e-29,exact,500,4.0,0.5582115768463074,3.099511325040074e-29,True,True,1049375010,im012_r
4.5968966005161586e-79,exact,552,4.0,0.8279280341745945,2.7795188747307005e-78,True,True,1049375008,im012_r
1.6046652283412727e-11,exact,1001,4.0,0.24065954006073767,2.8000869756290666e-11,True,False,1049375377,im012_r
0.00015314468795154412,exact,322,4.0,0.23106359248504893,0.00023015964663237846,True,False,1049375116,im012_r
1.275152955364335e-06,exact,201,4.0,0.3772227969065563,1.9972275204501633e-06,True,True,1049375005,im012_r
0.993834976797698,exact,168,-4.0,-0.22189349112426035,1.0,False,False,1049375004,im012_r
1.0,exact,265,-4.0,-0.5911193077032203,1.0,False,True,1049375003,im012_r
1.0,exact,268,-4.0,-0.5807024357765078,1.0,False,True,1049375002,im012_r
0.21947549253266332,exact,104,4.0,0.08791208791208792,0.3003348845183814,False,False,1049375001,im012_r
1.6288394779908075e-26,exact,604,4.0,0.4836790542389579,3.78123450247866e-26,True,True,1049375368,im012_r
2.5254739215040058e-20,exact,275,4.0,0.60832674571805,5.471860163258679e-20,True,True,1049375007,im012_r
0.912011957994382,exact,398,4.0,-0.0782861676805078,1.0,False,False,1049375006,im012_r
0.0029560335004451235,exact,365,4.0,0.16597050677445915,0.004317801742223214,True,False,1049374991,im012_r
0.003082191477423451,exact,102,4.0,0.3106796116504854,0.004476926168324565,True,True,1049374979,im012_r
1.3461570424470017e-86,exact,1003,8.0,0.6745143056885121,9.722245306561678e-86,True,True,1049374997,im012_r
3.301940106752905e-39,exact,815,4.0,0.5109467099723325,1.0343426840430788e-38,True,True,1049375366,im012_r
3.987476649733552e-46,exact,882,4.0,0.5331700063944037,1.3823252385742981e-45,True,True,1049375361,im012_r
0.023873474904676666,exact,145,4.0,0.1894189891355692,0.0341049641495381,True,False,1049374998,im012_r
1.018319232556039e-87,exact,714,4.0,0.7812109459168283,7.787147072487357e-87,True,True,1049374999,im012_r
9.140746627094543e-07,exact,914,4.0,0.1816049072712272,1.449142757954013e-06,True,False,1049375367,im012_r
0.43734044071882927,exact,49,4.0,0.027755102040816326,0.5891632880150032,False,False,1049375000,im012_r
0.9931103587150574,exact,24,-4.0,-0.56,1.0,False,True,1049375115,im012_r
8.66086304817453e-12,exact,317,4.0,0.42711743348610204,1.5318533282485564e-11,True,True,1049374990,im012_r
1.3895955979143485e-15,exact,659,4.0,0.3503839610061158,2.6962302646099304e-15,True,True,1049375364,im012_r
3.418759176693506e-55,exact,1002,4.0,0.5480225988700564,1.3888709155317368e-54,True,True,1049375357,im012_r
5.786962757775785e-19,exact,574,4.0,0.41642781396758066,1.213395416952987e-18,True,True,1049374995,im012_r
4.317749836475674e-110,exact,761,4.0,0.8333833435078171,4.8809345977551095e-109,True,True,1049374994,im012_r
4.700193408358055e-89,exact,1011,8.0,0.6805827596048213,3.942097697332562e-88,True,True,1049375365,im012_r
1.1972587379293106e-11,exact,337,4.0,0.41198883289730126,2.1032923774433836e-11,True,True,1049374993,im012_r
2.85149795218045e-19,exact,960,4.0,0.3275342525147416,6.076962848909156e-19,True,True,1049374989,im012_r
2.4385207347670448e-138,exact,996,8.0,0.8220766717824155,3.729502300231951e-137,True,True,1049375362,im012_r
1.653409742964912e-11,exact,278,4.0,0.44862174776307984,2.865910221139181e-11,True,True,1049374980,im012_r
2.22116309357035e-38,exact,360,4.0,0.7281779008925824,6.715144236375477e-38,True,True,1049374982,im012_r
5.40228073555582e-05,exact,53,4.0,0.5904961565338924,8.16623832118903e-05,True,True,1049374988,im012_r
3.087746283356703e-06,exact,931,4.0,0.17054208175251126,4.778654962337754e-06,True,False,1049375360,im012_r
2.537289432401842e-275,exact,1082,8.0,0.9847193136065184,3.2984762621223946e-273,True,True,1049374981,im012_r
1.0845691629510737e-29,exact,285,4.0,0.716451969083548,2.7114229073776844e-29,True,True,1049375113,im012_r
1.0821368863345003e-71,exact,728,4.0,0.7119228508117397,5.741950825448369e-71,True,True,1049374983,im012_r
8.756927713154562e-40,exact,413,4.0,0.6982372413470423,2.776586835878276e-39,True,True,1049374984,im012_r
0.980803295833365,exact,89,-4.0,-0.2519350811485643,1.0,False,True,1049374985,im012_r
4.1222061853571244e-10,exact,321,4.0,0.3889437123894661,7.005056262698381e-10,True,True,1049375129,im012_r
0.9999999973943189,exact,389,-4.0,-0.3375519082459956,1.0,False,True,1049375119,im012_r
6.800242503313503e-09,exact,136,4.0,0.5427221983683984,1.111989340164472e-08,True,True,1049374986,im012_r
2.414709196346435e-21,exact,176,4.0,0.7548151001540832,5.320545686865026e-21,True,True,1049375114,im012_r
9.789814633014657e-32,exact,689,4.0,0.4977261731978713,2.5710624288725365e-31,True,True,1049375322,im012_r
2.3711579219228904e-45,exact,965,4.0,0.5071412480288353,8.006507268830539e-45,True,True,1049375316,im012_r
2.162953824159946e-13,exact,381,4.0,0.41986505613499886,3.960337987898493e-13,True,True,1049375311,im012_r
5.891452997214122e-36,exact,927,4.0,0.46070007067663576,1.7406565673587177e-35,True,True,1049375305,im012_r
2.0281865046766173e-13,exact,236,4.0,0.5270685832796967,3.739918377417876e-13,True,True,1049375111,im012_r
6.580784742703913e-52,exact,367,4.0,0.819734036251629,2.479715990004373e-51,True,True,1049374963,im012_r
4.622142326849544e-12,exact,1097,4.0,0.23621966183647072,8.287979344695733e-12,True,False,1049375351,im012_r
1.2637612795583273e-28,exact,477,4.0,0.560818574949782,3.070821800795936e-28,True,True,1049374977,im012_r
2.7721620045962337e-76,exact,954,4.0,0.651365976269661,1.6016936026556017e-75,True,True,1049375356,im012_r
1.3762768309741594e-194,exact,1110,8.0,0.893980749426294,3.9759108450364604e-193,True,True,1049375350,im012_r
4.220417860234807e-30,exact,188,4.0,0.8494314983676686,1.0653481977291748e-29,True,True,1049374974,im012_r
5.837363187867157e-64,exact,949,4.0,0.6022272752481836,2.863612129897096e-63,True,True,1049374975,im012_r
8.125284619377186e-36,exact,475,4.0,0.6259088898717382,2.3473044455978538e-35,True,True,1049374973,im012_r
5.712827512148046e-41,exact,389,4.0,0.7255026036517039,1.833747102664805e-40,True,True,1049374970,im012_r
0.13542284019381004,exact,224,4.0,0.08503968253968254,0.18728690665101388,False,False,1049374969,im012_r
3.9134594826708416e-31,exact,199,4.0,0.8429145728643216,1.0074252133608108e-30,True,True,1049374968,im012_r
4.9915444480461405e-15,exact,314,4.0,0.4899605702153473,9.613344862903677e-15,True,True,1049374966,im012_r
0.9941468511475682,exact,665,-4.0,-0.11274582853530223,1.0,False,False,1049374965,im012_r
6.106961842875796e-51,exact,456,4.0,0.7465065837460171,2.2683001130681532e-50,True,True,1049374964,im012_r
